estacionOrigen,ID
TULA PASAJEROS,0
TULA,1
TLALTEPOXCO,2
VERACRUZ,3
VITO,4
BOJAY,5
KMB170,6
CORTAZAR,7
PRESIDENTE JUAREZ,8
LAS ANIMAS,9
TEPEACA,10
SALAMANCA,11
,12
XOXTLA,13
CIUDAD JUAREZ,14
TOLUCA,15
QUERETARO,16
MARISCALA,17
SAN JUAN DL RIO PAS,18
JALTIPAN,19
COLUMBUS,20
HUITZILZINGO,21
PUEBLA,22
MANZANILLO,23
NUEVO LAREDO,24
MIRAMAR,25
FT SMITH,26
WEST LAKE CHARLES,27
MOSSVILLE,28
ALTAMIRA,29
ELDON,30
SEADRIFT,31
MULFORD,32
BELLE PLAINE,33
BROOKLAWN,34
MARYLAND,35
KRAFT,36
HOUSTON,37
HAWESVILLE,38
SHAWMUT,39
SAUGET,40
ASHDOWN,41
WATTS,42
NORTH VALLIANT,43
GROOS,44
GEISMAR,45
BATON ROUGE,46
SAN LUIS POTOSI,47
MONTERREY,48
DONA CECILIA,49
SALTILLO,50
BROWNSVILLE,51
SWEENY,52
CAMARGO,53
FREEPORT,54
ROJAS,55
ROSITA,56
LAREDO,57
ALCALI,58
CHANNELVIEW,59
SAN JOSE ITURBIDE,60
TLACOTE,61
CHICHIMEQUILLAS,62
LEON,63
SILAO,64
HUEHUETOCA ND,65
APAXCO DE OCAMPO,66
QUIMICA EL REY,67
LAGRANGE,68
SANTA FE,69
SANTA RITA,70
CD. SAHAGUN,71
SAN AGUSTIN,72
ATCHISON,73
TUXTEPEC,74
TEZONAPA,75
CD SAHAGUN,76
TECOMAN,77
ADDYSTON,78
DEER PARK,79
QUINNESEC,80
KANSAS CITY,81
SOLVAY,82
WESTVACO,83
BAUM,84
BEAUMONT,85
ELK ISLAND,86
THREE RIVERS,87
SALT LAKE CITY,88
MCINTYRE,89
MONT BELVIEU,90
TEMPLE,91
LEMOYNE,92
VICTOR ROSALES,93
FESSENDEN,94
TRONA,95
RICHMOND,96
WESTEND,97
WINNIPEG,98
CIUDAD FRONTERA,99
AHORCADO,100
LAZARO CARDENAS,101
WEST SACRAMENTO,102
ALBRAE,103
