estacionDestino,ID
HOUSTON,0
BELLE CHASSE,1
EDDYVILLE,2
MALLARD,3
CEDAR RAPIDS,4
BAYPORT,5
TULSA,6
CHOCOLATE BAYOU,7
MIRAMAR,8
DEER PARK,9
SAUGET,10
FREEPORT,11
TAFT,12
ELK ISLAND,13
GEISMAR,14
DAYTON,15
CANGREJERA,16
SOUTH BAY CITY,17
EL SALTO,18
GUADALAJARA,19
LECHERIA,20
LOS REYES,21
TABALAOPA,22
VERACRUZ,23
PANTACO,24
ING. ROBERTO AYALA,25
TLALNEPANTLA,26
LA JUNTA,27
CUAUTITLAN NM,28
CAMARGO,29
WORTHINGTON,30
ING. AGUSTIN LIRA,31
CUAUTITLANCM,32
LEON,33
,34
MONFERROM,35
CHIAPA,36
PUEBLA,37
CUAUTITLAN CM,38
PANZACOLA,39
LAREDO,40
GUANOMEX,41
JALTIPAN,42
COATZACOALCOS,43
QUERETARO,44
TULTEPEC,45
CORTAZAR,46
MOLINO,47
TACUBA,48
TULA PASAJEROS,49
TLALTEPOXCO,50
XALOSTOC,51
SAN JUAN DL RIO PAS,52
ECATEPEC,53
TOTALCO,54
EL CHAPO,55
CHICHIMEQUILLAS,56
XOXTLA,57
PRESIDENTE JUAREZ,58
PTO CARROZAS,59
MANZANILLO,60
JALAPA,61
RODRIGUEZ CLARA,62
MERIDA,63
TEXAS CITY,64
ARRIAGA,65
IRAPUATO,66
SANTA RITA,67
HOLT,68
WINNIPEG,69
LARIMORE,70
CUAUTITLAN,71
EL CASTILLO,72
PIEDRAS NEGRAS,73
ORIZABA,74
XICOTENCATL,75
CIUDAD SAHAGUN,76
VITO,77
CALPULALPAN,78
MINATITLAN,79
LECHERIA FXE,80
TIERRA BLANCA,81
TUXTEPEC,82
SALAMANCA,83
EMP DTO EL REY,84
LAKE CHARLES,85
SAN JOSE ITURBIDE,86
TRONA,87
BOJAY,88
KMB170,89
SAN LUIS POTOSI,90
GUAMUCHIL,91
MARSHALLTOWN,92
PORT OF BROWNSVILLE,93
LEMOYNE,94
MEXICALI,95
TOCHAC,96
METEPEC,97
TLACOTE,98
TORREON,99
ELDON,100
NORTHPORT,101
JULIA,102
PAULA,103
NUEVO LAREDO,104
TRES VALLES,105
LA GRANJA,106
LA UNION,107
LA MAGDALENA,108
SILAO,109
HUITZILZINGO,110
TEPEACA,111
LAS ANIMAS,112
CIUDAD JUAREZ,113
QUIMICA EL REY,114
SANTA FE,115
HUEHUETOCA ND,116
CIUDAD VICTORIA,117
ANAHUAC,118
SAN AGUSTIN,119
CARDEL,120
ESCOBEDO,121
GUASAVE,122
LAS FLORES,123
TUSCALOOSA,124
DEWEY,125
MONT BELVIEU,126
FOUNTAIN,127
TRINITY,128
MCINTYRE,129
MONTERREY,130
MARYLAND,131
BAYTOWN,132
POTRERO,133
CUIDAD INDUSTRIAL,134
LAS DELICIAS,135
SOLVAY,136
BOWLING GREEN,137
HAWESVILLE,138
MULFORD,139
FT SMITH,140
TEPEXPAN,141
BRUNSWICK,142
ALTAMIRA,143
KANSAS CITY,144
DO#A ROSA,145
YEVAVITO,146
ASHDOWN,147
DARLINGTON,148
CHICAGO,149
FAIRFAX,150
NORTHLAKE,151
SAN FRANCISCO,152
VALLE DE MEXICO,153
CD. SAHAGUN,154
RUBIN,155
SEBEWAING,156
IDAHO FALLS,157
TARA,158
TACOMA,159
VALLES,160
APAZAPAM,161
HIGHBRIDGE,162
BROWNSVILLE,163
CLOVER BAR,164
WATTS,165
COUNCIL BLUFFS,166
FAIRBANKS,167
WEMBLEY,168
TEMASCALAPA,169
APODACA,170
MARISCALA,171
HATTON,172
PIGEON,173
CELAYA,174
CENTAURO,175
BAJIO,176
LEE CREEK,177
LAKE CITY,178
CHICAGO ASHLAND AVE,179
WATERLOO,180
TEHUACAN,181
OMAHA,182
RIO,183
BRUCETON,184
CANTON,185
DENVER,186
EL CAYACAL,187
EL LAURELAL,188
COOSA PINES,189
ESPARTAL,190
MEXCITY,191
QUERETARO SID,192
PORTLAND,193
NORFOLK,194
ATCHISON,195
VILLAGRAN,196
GENERAL ESCOBEDO,197
HUEHUETOCA NM,198
DONA CECILIA,199
TYLER,200
COTTON VALLEY,201
GREENSBORO,202
LEON FONSECA,203
PLYMOUTH,204
JEFFERSONVILL,205
PENJAMO ESTACION,206
FORMOSA,207
KINGSPORT,208
