idTrenICHR,id
LMXDX05,0
IVM 05,1
TMXTEV-05,2
TMXHUI 06,3
DIRMX  06,4
OPM 04,5
DIRMX-03,6
DIRMX  03,7
TMXTEV 08,8
FXXMZ-08,9
FXXMZ 08,10
AIRMX-08,11
,12
LESMX09,13
AHM 08,14
DOJMX  10,15
TMA 02,16
APL 02,17
IMZMX  02,18
MLRMX-29,19
MLRMX29,20
IMZMX  12,21
MMYMX11,22
OPMQ 14,23
2LESMX13,24
XDIRMX 14,25
GVM 06,26
MMYMX06,27
MVCMX-08,28
MVCMX08,29
AOM-08,30
TMI 11,31
GKCMXI-28,32
DVM 17,33
TMI-08,34
FAZXX  01,35
RTOMX  12,36
LESMX15,37
MLRMX03,38
QCTIR-03,39
QCTIR 03,40
QCM-06,41
TMI 04,42
IVM-31,43
IVM 31,44
LESMX12,45
IMIMX  09,46
IVM-07,47
LESMX03,48
RTOMX  14,49
TMXTEO 01,50
DIRMX  01,51
APL 03,52
TMI-15,53
IMZMX  15,54
IVM 07,55
DTM 07,56
ILZPN211,57
MLRMX11,58
GKCMXI-17,59
IMIMX  06,60
FXXMZ-11,61
RTOMX  09,62
GMAMX  15,63
APL 10,64
TMT 10,65
GSFMX  08,66
FXXMZ-02,67
TMT-03,68
DOM 07,69
DIRMX-09,70
RTOMX  01,71
MLRMX05,72
IVM-04,73
XDGDMX 15,74
QCTIR-30,75
LESMX08,76
FXXMZ 11,77
LMXXI11,78
AVM-04,79
TMTQ-13,80
QCTIR-12,81
OJM 01,82
QCTIR 15,83
GVM 15,84
GVM 09,85
DIRMX-12,86
MLRMX02,87
TMXTEO 11,88
IVM-11,89
IVM 11,90
DIRMX  07,91
AOM 08,92
DIRMX  09,93
QCTIR 12,94
TMXTEO-07,95
DIRMX  15,96
IMZMX  08,97
RTOMX  07,98
MVCMX-12,99
AHM 10,100
DIRMX  12,101
ILZPN12,102
ILZPN208,103
2TMI-11,104
IMZMX  11,105
DTM 12,106
MVCMX-15,107
OPM 16,108
QOM-01,109
TMEQ 10,110
AVM 09,111
LESMX11,112
QCTIR-09,113
TPJM-13,114
AHM-04,115
IMZMX  07,116
DJZMX  05,117
FMZXX  13,118
IMIMX  08,119
MMYMX-13,120
MMYMX13,121
DOM 01,122
FXXMZ 05,123
LMXDX10,124
IMIMX  05,125
IVM 01,126
MMYMX15,127
AVM 15,128
LMXXI13,129
GVM 01,130
IMIMX  29,131
FXXMZ-13,132
TPJM 13,133
TMXTE 13,134
LESMX05,135
MLRMX-08,136
IVM-10,137
ILZPN2-09,138
QCTIR 09,139
TPJM-16,140
OPMQ 08,141
APL 05,142
IMZMX  05,143
MLRMX08,144
TMXTEO-16,145
GVM 12,146
IVM 04,147
AVM 04,148
TMXTEO-04,149
ILZPN206,150
GJZCX  04,151
IVM-13,152
TMI 13,153
GKCMXI-07,154
LMXXI04,155
QCTIR-13,156
IMIMX  02,157
LMXDX08,158
TMI 16,159
MLRMX14,160
IMIMX  28,161
DIRMX  11,162
TMXHUI 11,163
ILZPN209,164
2TMI 04,165
TMXTEO 04,166
IVM 13,167
MVCMX12,168
IMZMX  13,169
LESMX13,170
IVM 16,171
IVM 10,172
TMI-10,173
TMXTEV 10,174
MVCMX-01,175
2MLRMX31,176
TMT-12,177
LMXXI16,178
CBJZCX-03,179
IMZMX  16,180
APL 16,181
IMIMX  13,182
QCTIR 31,183
FMZXX  08,184
TMXHUI 16,185
AOM 04,186
RTOMX  30,187
3TMI 13,188
DIRMX  16,189
TMTQ 06,190
DIRMX-05,191
ILZPN03,192
TMXHUI-04,193
2MLRMX12,194
XIMZMX-02,195
DIRMX  02,196
DPMQ 10,197
AHM 15,198
TMTQ-17,199
IMZMX 13,200
TMXHUI 13,201
GNLMX04,202
MLRMX10,203
DIRMX  05,204
FMZXX-09,205
AIRVC-13,206
DOM 16,207
TMTQ 17,208
FMZXX  03,209
GVM 16,210
MLRMX12,211
DCM 12,212
QCTIR 13,213
TMEQ 12,214
QCTIR 16,215
IMIMX  10,216
DIRMX  08,217
GVMQ 11,218
XRTOMX 03,219
TMTQ 06M,220
QCTIR 05,221
GVM 13,222
TMT-14,223
DPNMX  30,224
XDGDMX 04,225
XIMZMX 02,226
MVCMX01,227
TMEQ-17,228
ILZPN15,229
LMXDX12,230
RTOMX  06,231
DCM 04,232
ILZPN-15,233
LESMX16,234
ILZPN204,235
IMZMX-10,236
LESMX10,237
AVM 11,238
IVM 12,239
GVM 04,240
2IVM 12,241
QCTIR 11,242
IVM-14,243
TMXTEO 14,244
IVM 14,245
OPMQ 03,246
QCTIR 02,247
MVCMX03,248
XDIRMX-04,249
TMT 02,250
MMYMX30,251
2GVM 01,252
AHM 12,253
XRSJMX 12,254
AHM 31,255
ILZPN2-04,256
AHM 04,257
ILZPN-13,258
LMXDX14,259
ILZPN13,260
ILZPN-16,261
GJVMXI-05,262
AOM 06,263
ILZPN-05,264
ILZPN05,265
QCM 08,266
RTOMX  13,267
XDIRMX-03,268
TMXTEV 12,269
IMZMX 10,270
GVMQ 10,271
DIRMX-13,272
MMYMX16,273
LESMX04,274
2ILZPN209,275
DIRMX-10,276
LMXXI06,277
DIRMX  13,278
IVM-17,279
TMI 02,280
LMXXI02,281
AHM 06,282
GVM 07,283
