dia,mes,Dia_semana,año,trainsxday
1,1,2,2018,12
1,2,5,2018,24
1,3,5,2018,26
1,4,1,2018,19
1,5,3,2018,21
1,6,6,2018,39
1,7,1,2018,36
1,8,4,2018,31
1,9,7,2018,34
1,10,2,2018,32
1,11,5,2018,24
1,12,7,2018,40
2,1,3,2018,27
2,2,6,2018,29
2,3,6,2018,29
2,4,2,2018,31
2,5,4,2018,26
2,6,7,2018,31
2,7,2,2018,32
2,8,5,2018,37
2,9,1,2018,35
2,10,3,2018,38
2,11,6,2018,40
2,12,1,2018,31
3,1,4,2018,34
3,2,7,2018,35
3,3,7,2018,41
3,4,3,2018,26
3,5,5,2018,44
3,6,1,2018,37
3,7,3,2018,25
3,8,6,2018,26
3,9,2,2018,25
3,10,4,2018,28
3,11,7,2018,23
3,12,2,2018,33
4,1,5,2018,30
4,2,1,2018,35
4,3,1,2018,34
4,4,4,2018,25
4,5,6,2018,38
4,6,2,2018,33
4,7,4,2018,37
4,8,7,2018,33
4,9,3,2018,31
4,10,5,2018,41
4,11,1,2018,33
4,12,3,2018,26
5,1,6,2018,36
5,2,2,2018,26
5,3,2,2018,32
5,4,5,2018,33
5,5,7,2018,35
5,6,3,2018,38
5,7,5,2018,37
5,8,1,2018,34
5,9,4,2018,24
5,10,6,2018,33
5,11,2,2018,37
5,12,4,2018,46
6,1,7,2018,33
6,2,3,2018,33
6,3,3,2018,33
6,4,6,2018,37
6,5,1,2018,32
6,6,4,2018,35
6,7,6,2018,36
6,8,2,2018,29
6,9,5,2018,28
6,10,7,2018,38
6,11,3,2018,31
6,12,5,2018,28
7,1,1,2018,29
7,2,4,2018,26
7,3,4,2018,30
7,4,7,2018,28
7,5,2,2018,35
7,6,5,2018,27
7,7,7,2018,37
7,8,3,2018,33
7,9,6,2018,37
7,10,1,2018,34
7,11,4,2018,29
7,12,6,2018,37
8,1,2,2018,35
8,2,5,2018,28
8,3,5,2018,29
8,4,1,2018,48
8,5,3,2018,27
8,6,6,2018,36
8,7,1,2018,33
8,8,4,2018,31
8,9,7,2018,30
8,10,2,2018,26
8,11,5,2018,23
8,12,7,2018,15
9,1,3,2018,30
9,2,6,2018,29
9,3,6,2018,40
9,4,2,2018,36
9,5,4,2018,27
9,6,7,2018,34
9,7,2,2018,35
9,8,5,2018,27
9,9,1,2018,36
9,10,3,2018,37
9,11,6,2018,38
9,12,1,2018,43
10,1,4,2018,36
10,2,7,2018,25
10,3,7,2018,29
10,4,3,2018,27
10,5,5,2018,38
10,6,1,2018,29
10,7,3,2018,29
10,8,6,2018,23
10,9,2,2018,27
10,10,4,2018,28
10,11,7,2018,35
10,12,2,2018,27
11,1,5,2018,33
11,2,1,2018,28
11,3,1,2018,30
11,4,4,2018,26
11,5,6,2018,28
11,6,2,2018,35
11,7,4,2018,37
11,8,7,2018,32
11,9,3,2018,26
11,10,5,2018,40
11,11,1,2018,31
11,12,3,2018,28
12,1,6,2018,31
12,2,2,2018,36
12,3,2,2018,36
12,4,5,2018,33
12,5,7,2018,24
12,6,3,2018,30
12,7,5,2018,27
12,8,1,2018,26
12,9,4,2018,34
12,10,6,2018,39
12,11,2,2018,41
12,12,4,2018,41
13,1,7,2018,36
13,2,3,2018,31
13,3,3,2018,28
13,4,6,2018,36
13,5,1,2018,30
13,6,4,2018,39
13,7,6,2018,37
13,8,2,2018,32
13,9,5,2018,32
13,10,7,2018,35
13,11,3,2018,37
13,12,5,2018,34
14,1,1,2018,37
14,2,4,2018,33
14,3,4,2018,32
14,4,7,2018,23
14,5,2,2018,28
14,6,5,2018,39
14,7,7,2018,30
14,8,3,2018,30
14,9,6,2018,34
14,10,1,2018,32
14,11,4,2018,26
14,12,6,2018,41
15,1,2,2018,31
15,2,5,2018,35
15,3,5,2018,40
15,4,1,2018,40
15,5,3,2018,25
15,6,6,2018,31
15,7,1,2018,34
15,8,4,2018,33
15,9,7,2018,28
15,10,2,2018,25
15,11,5,2018,38
15,12,7,2018,25
16,1,3,2018,27
16,2,6,2018,24
16,3,6,2018,42
16,4,2,2018,35
16,5,4,2018,31
16,6,7,2018,31
16,7,2,2018,33
16,8,5,2018,28
16,9,1,2018,36
16,10,3,2018,40
16,11,6,2018,27
16,12,1,2018,36
17,1,4,2018,35
17,2,7,2018,38
17,3,7,2018,28
17,4,3,2018,38
17,5,5,2018,27
17,6,1,2018,35
17,7,3,2018,34
17,8,6,2018,37
17,9,2,2018,25
17,10,4,2018,37
17,11,7,2018,35
17,12,2,2018,39
18,1,5,2018,33
18,2,1,2018,24
18,3,1,2018,36
18,4,4,2018,34
18,5,6,2018,26
18,6,2,2018,30
18,7,4,2018,26
18,8,7,2018,28
18,9,3,2018,35
18,10,5,2018,26
18,11,1,2018,31
18,12,3,2018,30
19,1,6,2018,32
19,2,2,2018,31
19,3,2,2018,29
19,4,5,2018,35
19,5,7,2018,30
19,6,3,2018,28
19,7,5,2018,36
19,8,1,2018,32
19,9,4,2018,33
19,10,6,2018,33
19,11,2,2018,38
19,12,4,2018,37
20,1,7,2018,35
20,2,3,2018,35
20,3,3,2018,25
20,4,6,2018,32
20,5,1,2018,22
20,6,4,2018,40
20,7,6,2018,41
20,8,2,2018,24
20,9,5,2018,29
20,10,7,2018,41
20,11,3,2018,28
20,12,5,2018,28
21,1,1,2018,28
21,2,4,2018,34
21,3,4,2018,31
21,4,7,2018,36
21,5,2,2018,19
21,6,5,2018,33
21,7,7,2018,41
21,8,3,2018,28
21,9,6,2018,29
21,10,1,2018,23
21,11,4,2018,27
21,12,6,2018,40
22,1,2,2018,31
22,2,5,2018,32
22,3,5,2018,32
22,4,1,2018,41
22,5,3,2018,22
22,6,6,2018,33
22,7,1,2018,27
